"","brand","maker","shelf","calories","protein","fat","sodium","fiber","carbohydrates","sugar","potassium","vitamins","weight","adults.assessment","youths.assessment"
"52","Post Nat. Raisin Bran","Post","Top",120,3,1,200,6,11,14,260,25,37.71,37.84,34.64
"53","Product 19","Kelloggs","Top",100,3,0,320,1,20,3,45,100,28.35,41.5,37.87
"54","Puffed Rice","Quaker Oats","Top",50,1,0,0,0,13,0,15,0,14.16,60.76,57.5
"55","Puffed Wheat","Quaker Oats","Top",50,2,0,0,1,10,0,50,0,14.16,63.01,61.62
"56","Quaker Oat Squares","Quaker Oats","Top",100,4,1,135,2,14,6,110,25,28.35,49.51,50.51
"57","Quaker Oatmeal","Quaker Oats","Bottom",100,5,2,0,2.7,0,0,110,0,28.35,50.83,49.38
"58","Raisin Bran","Kelloggs","Central",120,3,1,210,5,14,12,240,25,37.71,39.26,39.94
"59","Raisin Nut Bran","General Mills","Top",100,3,2,140,2.5,10.5,8,140,25,28.35,39.7,38.88
"60","Raisin Squares","Kelloggs","Top",90,2,0,0,2,15,6,110,25,28.35,55.33,56.15
"61","Rice Chex","Ralston Purina","Bottom",110,1,0,240,0,23,2,30,25,28.35,42,45.74
"62","Rice Krispies","Kelloggs","Bottom",110,2,0,290,0,22,3,35,25,28.35,40.56,40.99
"63","Shredded Wheat","Nabisco","Bottom",80,2,0,0,3,16,0,95,0,23.53,68.24,66.69
"64","Shredded Wheat 'n'Bran","Nabisco","Bottom",90,3,0,0,4,19,0,140,0,28.35,74.47,72.3
"65","Shredded Wheat spoon size","Nabisco","Bottom",90,3,0,0,3,20,0,120,0,28.35,72.8,71.33
"66","Smacks","Kelloggs","Central",110,2,1,70,1,9,15,40,25,28.35,31.23,44.64
"67","Special K","Kelloggs","Bottom",110,6,0,230,1,16,3,55,25,28.35,53.13,52.62
"68","Strawberry Fruit Wheats","Nabisco","Central",90,2,0,15,3,15,5,90,25,28.35,59.36,58.79
"69","Total Corn Flakes","General Mills","Top",110,2,1,200,0,21,3,35,100,28.35,38.84,34.07
"70","Total Raisin Bran","General Mills","Top",140,3,1,190,4,15,14,230,100,42.53,28.59,28.12
"71","Total Whole Grain","General Mills","Top",100,3,1,200,3,16,3,110,100,28.35,46.66,43.59
"72","Triples","General Mills","Top",110,2,1,250,0,21,3,60,25,28.35,39.11,37.1
"73","Trix","General Mills","Central",110,1,1,140,0,13,12,25,25,28.35,27.75,38.42
"74","Wheat Chex","Ralston Purina","Bottom",100,3,1,230,3,17,3,115,25,28.35,49.79,46.3
"75","Wheaties","General Mills","Bottom",100,3,1,200,3,17,3,110,25,28.35,51.59,52.23
"76","Wheaties Honey Gold","General Mills","Bottom",110,2,1,200,1,16,8,60,25,28.35,36.19,39.39
